name,longitude,latitude
Canada Line,-123.112012,49.285847
Canada Line,-123.118756,49.282578
Canada Line,-123.120304,49.281618
Canada Line,-123.121226,49.280607
Canada Line,-123.121518,49.279375
Canada Line,-123.121979,49.277714
Canada Line,-123.121998,49.276371
Canada Line,-123.121615,49.273073
Canada Line,-123.119891,49.270468
Canada Line,-123.117582,49.268632
Canada Line,-123.115619,49.266543
Canada Line,-123.114476,49.263188
Canada Line,-123.115106,49.255138
Canada Line,-123.115345,49.24914
Canada Line,-123.115361,49.247191
Canada Line,-123.115466,49.245565
Canada Line,-123.115698,49.244919
Canada Line,-123.116594,49.244062
Canada Line,-123.11663,49.244062
Canada Line,-123.117726,49.243371
Canada Line,-123.118444,49.242131
Canada Line,-123.118483,49.24084
Canada Line,-123.11751,49.239543
Canada Line,-123.116599,49.238561
Canada Line,-123.116596,49.238538
Canada Line,-123.11598,49.237876
Canada Line,-123.116,49.23702
Canada Line,-123.116276,49.231027
Canada Line,-123.116631,49.220826
Canada Line,-123.11694,49.209744
Canada Line,-123.117971,49.20017
Canada Line,-123.118175,49.199833
Canada Line,-123.118501,49.199475
Canada Line,-123.119612,49.198501
Canada Line,-123.121333,49.19758
Canada Line,-123.122942,49.196971
Canada Line,-123.124698,49.196269
Canada Line,-123.12601,49.195642
Canada Line,-123.126968,49.195109
Canada Line,-123.128334,49.194633
Canada Line,-123.129057,49.194451
Canada Line,-123.129965,49.194399
Canada Line,-123.130517,49.194497
Canada Line,-123.131256,49.19469
Canada Line,-123.131861,49.194959
Canada Line,-123.132509,49.195255
Canada Line,-123.133261,49.195477
Canada Line,-123.134529,49.195733
Canada Line,-123.136872,49.19593
Canada Line,-123.140631,49.196389
Canada Line,-123.14253,49.19663
Canada Line,-123.143427,49.196654
Canada Line,-123.144657,49.196798
Canada Line,-123.145729,49.196728
Canada Line,-123.146861,49.196628
Canada Line,-123.148252,49.196314
Canada Line,-123.149005,49.196053
Canada Line,-123.14977,49.195651
Canada Line,-123.150618,49.195179
Canada Line,-123.151807,49.194458
Canada Line,-123.15304,49.193885
Canada Line,-123.154451,49.193281
Canada Line,-123.155811,49.193163
Canada Line,-123.157385,49.193092
Canada Line,-123.159556,49.193022
Canada Line,-123.16264,49.193021
Canada Line,-123.162746,49.193022
Canada Line,-123.16458,49.193089
Canada Line,-123.166661,49.193075
Canada Line,-123.166731,49.193096
Canada Line,-123.169159,49.193328
Canada Line,-123.170637,49.193461
Canada Line,-123.172474,49.193624
Canada Line,-123.1733,49.193649
Canada Line,-123.174413,49.193763
Canada Line,-123.178284,49.194261
Canada Line,-123.136216,49.168157
Canada Line,-123.1365,49.17589
Canada Line,-123.136424,49.184293
Canada Line,-123.136361,49.184749
Canada Line,-123.135961,49.185288
Canada Line,-123.13482,49.186285
Canada Line,-123.132741,49.18857
Canada Line,-123.130569,49.190445
Canada Line,-123.130286,49.19088
Canada Line,-123.13009,49.191351
Canada Line,-123.13008,49.191854
Canada Line,-123.130069,49.192365
Canada Line,-123.130015,49.192959
Canada Line,-123.129965,49.193275
Canada Line,-123.129701,49.193683
Canada Line,-123.129306,49.19404
Canada Line,-123.12891,49.194312
Canada Line,-123.128174,49.194635
Canada Line,-123.127724,49.194843
Expo Line,-123.111955,49.285946
Expo Line,-123.114723,49.28729
Expo Line,-123.11695,49.287858
Expo Line,-123.118175,49.287929
Expo Line,-123.119231,49.287702
Expo Line,-123.119938,49.287428
Expo Line,-123.120297,49.286687
Expo Line,-123.120151,49.285848
Expo Line,-123.118638,49.285075
Expo Line,-123.11715,49.284001
Expo Line,-123.116016,49.283398
Expo Line,-123.109227,49.279232
Expo Line,-123.107488,49.278211
Expo Line,-123.106119,49.2778
Expo Line,-123.104462,49.277622
Expo Line,-123.103426,49.277393
Expo Line,-123.1028,49.27683
Expo Line,-123.102454,49.274688
Expo Line,-123.102144,49.273664
Expo Line,-123.101647,49.27343
Expo Line,-123.101001,49.273277
Expo Line,-123.099646,49.273074
Expo Line,-123.096712,49.272383
Expo Line,-123.082568,49.269705
Expo Line,-123.081586,49.269377
Expo Line,-123.080712,49.268818
Expo Line,-123.079814,49.267842
Expo Line,-123.07929,49.267124
Expo Line,-123.078791,49.266741
Expo Line,-123.077944,49.266288
Expo Line,-123.076845,49.265894
Expo Line,-123.075839,49.265574
Expo Line,-123.070137,49.263742
Expo Line,-123.069599,49.263539
Expo Line,-123.069309,49.263191
Expo Line,-123.069218,49.262906
Expo Line,-123.069137,49.261724
Expo Line,-123.069149,49.259195
Expo Line,-123.06914,49.257056
Expo Line,-123.069143,49.256478
Expo Line,-123.069103,49.256236
Expo Line,-123.068942,49.25575
Expo Line,-123.068613,49.255096
Expo Line,-123.067902,49.254337
Expo Line,-123.066995,49.253625
Expo Line,-123.066124,49.252953
Expo Line,-123.065566,49.252557
Expo Line,-123.06435,49.251844
Expo Line,-123.062418,49.251025
Expo Line,-123.060177,49.250112
Expo Line,-123.055736,49.248273
Expo Line,-123.051424,49.24645
Expo Line,-123.046161,49.244307
Expo Line,-123.039518,49.241548
Expo Line,-123.03436,49.239431
Expo Line,-123.029564,49.237457
Expo Line,-123.025918,49.235685
Expo Line,-123.022563,49.234173
Expo Line,-123.021076,49.233588
Expo Line,-123.018215,49.232338
Expo Line,-123.014161,49.230469
Expo Line,-123.010238,49.228686
Expo Line,-123.006528,49.226987
Expo Line,-123.00116,49.224504
Expo Line,-122.996508,49.222289
Expo Line,-122.995607,49.221871
Expo Line,-122.995022,49.221622
Expo Line,-122.994434,49.221406
Expo Line,-122.993574,49.221161
Expo Line,-122.992643,49.220951
Expo Line,-122.991258,49.220655
Expo Line,-122.989265,49.220254
Expo Line,-122.984064,49.219176
Expo Line,-122.980559,49.21848
Expo Line,-122.9796,49.218265
Expo Line,-122.978562,49.217945
Expo Line,-122.977751,49.217642
Expo Line,-122.975913,49.216775
Expo Line,-122.974005,49.215861
Expo Line,-122.97277,49.215307
Expo Line,-122.97201,49.215065
Expo Line,-122.971369,49.214914
Expo Line,-122.970763,49.214825
